가맹점ID,가맹점명,맞춤형설명,업종,개설일,폐업일,주소,상권,유동고객비율_3m,유동고객비율_2m,유동고객비율_1m,직장고객비율_3m,직장고객비율_2m,직장고객비율_1m,거주고객비율_3m,거주고객비율_2m,거주고객비율_1m,신규고객비율_3m,신규고객비율_2m,신규고객비율_1m,재방문율_3m,재방문율_2m,재방문율_1m,상권내폐업비율_3m,상권내폐업비율_2m,상권내폐업비율_1m,업종내폐업비율_3m,업종내폐업비율_2m,업종내폐업비율_1m,상권내매출순위비율_3m,상권내매출순위비율_2m,상권내매출순위비율_1m,업종내매출순위비율_3m,업종내매출순위비율_2m,업종내매출순위비율_1m,신규고객비율_추세,상권내매출순위비율_추세,업종내매출순위비율_추세,유동고객비율_추세,상권내폐업비율_추세,업종내폐업비율_추세,재방문율_추세,매출금액구간_추세,거주고객비율_추세,직장고객비율_추세,매출건수구간_추세,매출건수구간_3m,매출건수구간_2m,매출건수구간_1m,매출금액구간_3m,매출금액구간_2m,매출금액구간_1m
E5A898ED0C,평강****,"폐업 위험도: 낮음 (0.00). 주요 원인: 업종_대분류 영향도 1.01, 남성20대이하비율 영향도 0.89, 유동고객비율 영향도 -0.81. 고객유형: 남성 20대 이하, 여성 20-30대 중심, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율/신규고객 모두 낮음",한식-육류/고기,2023-11-20,,서울특별시 성동구 무학봉16길 3,왕십리,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,18.8604,19.7912,20.5492,2.4752,2.354,2.4282,8.177,7.7896,7.9236,6.4532,6.206,5.5806,유지 유지,감소 증가,감소 감소,유지 유지,증가 증가,감소 증가,유지 유지,유지 유지,유지 유지,유지 유지,감소 증가,3.0,4.0,4.0,3.0,3.0,4.0
B3116E5135,장미***,"폐업 위험도: 낮음 (0.00). 주요 원인: 운영개월수구간 영향도 -0.73, 객단가구간 영향도 -0.61, 신규고객비율 영향도 0.57. 고객유형: 50-60대 남녀 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율/신규고객 보통",치킨,2010-03-05,,서울  성동구  성수2가1동,성수,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,38.7584,41.2086,47.685,1.3176,1.3949,0.0,1.3176,1.3949,1.055,1.3176,0.0,1.055,유지 유지,증가 감소,감소 증가,유지 유지,증가 증가,증가 감소,유지 유지,유지 유지,증가 유지,유지 유지,증가 감소,5.0,5.0,5.0,5.0,5.0,5.0
B2B0A6FE69,흥부**,"폐업 위험도: 높음 (0.83). 주요 원인: 업종내폐업비율 영향도 1.67, 유동고객비율 영향도 0.67, 취소율구간 영향도 0.62. 고객유형: 50-60대 남녀 중심, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율 높음",축산물,2019-09-27,2025-06-10,서울특별시 성동구 왕십리로 410,상권없음,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,3.0,0.0,0.0,0.0,8.7246,8.8704,9.2267,2.2678,2.4568,2.1681,13.1399,12.948,13.0743,15.0075,15.2056,15.3738,증가 감소,감소 증가,증가 증가,유지 유지,증가 증가,증가 감소,유지 유지,유지 유지,유지 유지,유지 유지,증가 감소,2.0,3.0,3.0,2.0,3.0,3.0
925AC1B723,뽀식**,"폐업 위험도: 낮음 (0.00). 주요 원인: 매출금액구간 영향도 -0.77, 직장고객비율 영향도 -0.71, 여성30대비율 영향도 -0.65. 고객유형: 남성 20대 이하, 여성 20-30대 중심, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율 높음",백반/가정식,2016-06-10,,서울 성동구 아차산로17길 14-1.,상권없음,4.0,5.0,5.0,4.0,5.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0825,13.0016,13.425,5.8338,5.4264,5.1393,7.9173,6.2928,5.1393,10.4175,10.4424,11.1583,유지 유지,감소 감소,증가 증가,증가 유지,증가 증가,감소 감소,유지 유지,유지 유지,감소 유지,증가 감소,감소 증가,4.0,5.0,4.0,3.0,3.0,5.0
F4835443B8,코너***************,"폐업 위험도: 낮음 (0.00). 주요 원인: 업종_대분류 영향도 -1.38, 업종내폐업비율 영향도 1.27, 취소율구간 영향도 0.67. 고객유형: 30-50대 남성 중심, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율 높음",식료품,2018-09-05,,서울특별시 성동구 용답길 169-1,답십리,3.0,3.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,1.0,4.0,4.0,0.0,0.0,0.0,1.026,1.1845,1.1046,6.9154,7.081,7.2048,16.5093,16.199,15.6894,13.5873,13.677,13.035,증가 유지,감소 감소,증가 감소,유지 유지,증가 감소,증가 증가,유지 유지,유지 유지,감소 유지,유지 유지,감소 증가,4.0,3.0,3.0,4.0,4.0,3.0
B1F6E35E99,우대*******,"폐업 위험도: 낮음 (0.01). 주요 원인: 운영개월수구간 영향도 2.67, 신규고객비율 영향도 -2.21, 업종내매출순위비율 영향도 0.65. 고객유형: 고르게 분포, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 신규 고객 비율 높음",한식-육류/고기,2024-11-11,,서울특별시 성동구 왕십리로 410,상권없음,,3.0,2.0,,3.0,2.0,,2.0,2.0,,1.0,4.0,,0.0,0.0,,15.834,13.266,,2.8543,3.128,,6.9207,7.616,,6.5297,7.854,유지 증가,유지 증가,유지 증가,유지 감소,유지 감소,유지 증가,유지 유지,유지 유지,유지 유지,유지 감소,유지 증가,1.0,2.0,,1.0,,3.0
3D85779307,안가****,"폐업 위험도: 낮음 (0.00). 주요 원인: 객단가구간 영향도 -0.63, 군집_고객유형 영향도 -0.56, 직장고객비율 영향도 -0.51. 고객유형: 남성 20대 이하, 여성 20-30대 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율/신규고객 보통",한식-육류/고기,2016-12-26,,서울특별시 성동구 용답중앙13길 3,답십리,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,24.552,24.7125,23.9364,3.094,3.1372,2.7334,5.644,5.4901,6.228,5.508,5.5924,5.5706,유지 유지,감소 증가,증가 감소,유지 유지,증가 감소,증가 감소,유지 유지,유지 유지,증가 감소,유지 유지,감소 감소,4.0,4.0,4.0,4.0,4.0,4.0
1AB3F0C3B0,진숙**,"폐업 위험도: 낮음 (0.00). 주요 원인: 매출금액구간 영향도 -0.58, 객단가구간 영향도 -0.57, 남성30대비율 영향도 0.40. 고객유형: 고객유형 미정, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 신규 고객 비율 높음",백반/가정식,2018-12-14,,서울특별시 성동구 독서당로 296-1,금남시장,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,1.5,3.6,2.5,8.142,8.0569,7.9925,7.285,6.4862,6.466,10.106,10.1311,11.651,5.456,4.9364,4.9105,유지 유지,증가 증가,감소 감소,유지 유지,감소 감소,감소 감소,증가 감소,유지 유지,감소 유지,유지 유지,증가 감소,4.0,4.0,4.0,3.0,4.0,4.0
B11D3238E3,마넌*,"폐업 위험도: 낮음 (0.01). 주요 원인: 운영개월수구간 영향도 4.25, 유동고객비율 영향도 -1.28, 매출금액구간 영향도 -0.62. 고객유형: 고객유형 미정, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율/신규고객 모두 낮음",한식-육류/고기,2024-08-02,,서울특별시 성동구 독서당로 384,상권없음,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,14.807,15.64,16.2494,0.396,0.64,0.4777,4.224,4.16,3.4282,12.276,11.2,10.0317,증가 감소,감소 감소,감소 감소,유지 유지,증가 증가,증가 감소,유지 유지,유지 유지,유지 유지,유지 유지,감소 감소,3.0,4.0,4.0,3.0,3.0,4.0
3D8F0EC508,완미********,"폐업 위험도: 낮음 (0.00). 주요 원인: 남성60대이상비율 영향도 -0.51, 매출금액구간 영향도 -0.51, 업종_대분류 영향도 0.42. 고객유형: 고객유형 미정, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율/신규고객 모두 낮음",한식-육류/고기,2023-08-29,,서울특별시 성동구 마조로5길 4-16,한양대,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1.0,6.0,10.5,11.7,6.4,2.9106,2.8812,2.9025,12.8633,12.8426,12.61,9.0872,9.6398,10.205,3.2542,3.3598,3.6725,유지 증가,증가 증가,증가 증가,유지 유지,감소 증가,감소 감소,증가 감소,유지 유지,유지 유지,유지 유지,증가 감소,3.0,4.0,4.0,3.0,3.0,4.0
B30333D048,할루***,"폐업 위험도: 낮음 (0.00). 주요 원인: 업종_대분류 영향도 0.62, 매출금액구간 영향도 -0.53, 업종내매출순위비율 영향도 0.47. 고객유형: 고르게 분포, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율/신규고객 보통",치킨,2010-10-18,,서울 성동구 용답19길 10-2.,상권없음,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,11.022,10.956,11.256,6.2084,6.4512,6.336,5.2124,5.0064,5.082,5.4116,5.544,5.247,유지 유지,감소 증가,증가 감소,유지 유지,감소 증가,증가 감소,유지 유지,유지 유지,유지 유지,유지 유지,감소 감소,2.0,3.0,3.0,3.0,2.0,3.0
B0A6B628D3,샵 *********,"폐업 위험도: 낮음 (0.00). 주요 원인: 남성30대비율 영향도 0.83, 남성40대비율 영향도 -0.49, 매출금액구간 영향도 -0.46. 고객유형: 고객유형 미정, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율 높음",커피전문점,2020-06-16,,서울특별시 성동구 뚝섬로 385-40,성수,1.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,5.0,2.0,2.0,2.0,0.0,0.0,0.0,2.6949,2.6334,2.7183,6.0873,6.0172,5.9085,12.6381,12.4642,12.2412,6.798,6.8154,6.7266,유지 유지,감소 감소,증가 감소,유지 유지,감소 증가,감소 감소,유지 유지,유지 유지,유지 유지,증가 유지,증가 감소,3.0,1.0,1.0,3.0,3.0,1.0
6C51945707,군산**,"폐업 위험도: 낮음 (0.00). 주요 원인: 여성20대이하비율 영향도 -0.82, 매출금액구간 영향도 0.76, 여성30대비율 영향도 -0.49. 고객유형: 50-60대 남녀 중심, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 신규 고객 비율 높음",백반/가정식,2016-08-02,,서울 성동구 마장로 327.,상권없음,2.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,2.5,4.6,2.5,19.992,20.2536,20.8384,1.442,1.4212,1.3872,4.4908,4.4726,4.692,8.3224,8.151,7.956,증가 감소,감소 증가,감소 감소,증가 유지,증가 증가,감소 감소,증가 감소,유지 유지,유지 유지,유지 유지,증가 감소,1.0,3.0,2.0,1.0,1.0,3.0
6C3EFED516,토마********,"폐업 위험도: 낮음 (0.02). 주요 원인: 여성30대비율 영향도 1.13, 신규고객비율 영향도 0.75, 업종_대분류 영향도 0.71. 고객유형: 30-50대 남성 중심, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율 높음",분식,2022-08-25,,서울특별시 성동구 아차산로 49,뚝섬,2.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,1.0,2.0,1.0,8.1,2.0,1.1,2.9795,3.024,3.054,11.385,11.3584,11.4403,17.127,17.2112,16.8413,10.2465,10.168,10.1637,증가 감소,증가 감소,감소 감소,유지 유지,증가 증가,감소 증가,감소 감소,유지 유지,유지 유지,유지 유지,증가 감소,3.0,2.0,2.0,3.0,3.0,2.0
B437763A97,브루********,"폐업 위험도: 낮음 (0.00). 주요 원인: 신규고객비율 영향도 -1.72, 운영개월수구간 영향도 1.43, 매출금액구간 영향도 -0.82. 고객유형: 남성 50-60대 중심, 젊은층 적음, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 신규 고객 비율 높음",카페,2024-06-12,,서울특별시 성동구 뚝섬로15길 29-1,상권없음,4.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,1.0,1.0,5.0,0.0,0.0,0.0,3.1191,2.3323,1.9497,23.9427,28.76,31.4796,27.6096,24.8055,23.3261,6.5429,7.4057,6.9482,유지 증가,감소 감소,증가 감소,유지 감소,감소 감소,증가 증가,유지 유지,유지 유지,유지 유지,유지 감소,감소 감소,4.0,3.0,4.0,4.0,4.0,4.0
1AEC503D19,교촌*******,"폐업 위험도: 낮음 (0.00). 주요 원인: 여성20대이하비율 영향도 0.78, 거주고객비율 영향도 0.69, 업종_대분류 영향도 0.59. 고객유형: 남성 50-60대 중심, 젊은층 적음, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율/신규고객 모두 낮음",치킨,2018-11-13,,서울 성동구 마조로 31.,한양대,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,3.0,3.0,51.3,56.4,65.2,3.5105,3.5807,3.522,21.06,21.2282,21.1456,6.6015,6.8558,6.8145,4.05,4.1713,4.0887,증가 유지,증가 감소,증가 감소,유지 유지,증가 감소,증가 감소,증가 증가,유지 유지,유지 유지,유지 유지,감소 감소,2.0,2.0,2.0,2.0,2.0,2.0
6BCA53C20A,마쿠***,"폐업 위험도: 낮음 (0.00). 주요 원인: 여성20대이하비율 영향도 0.91, 여성60대이상비율 영향도 -0.64, 운영개월수구간 영향도 -0.53. 고객유형: 남성 20-30대, 여성 30대 비율 높음, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율 높음",중식당,2018-07-25,,서울특별시 성동구 마조로3길 6,한양대,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,8.6,12.5,16.8,0.3619,0.3888,0.3597,49.1172,49.6184,49.5328,4.5628,4.5968,4.6437,4.0931,4.1912,4.1726,감소 증가,증가 증가,증가 감소,유지 유지,증가 감소,증가 감소,증가 증가,유지 유지,유지 유지,유지 유지,증가 감소,2.0,1.0,1.0,2.0,1.0,1.0
6B99F5A278,아지***,"폐업 위험도: 낮음 (0.00). 주요 원인: 유동고객비율 영향도 -0.79, 매출건수구간 영향도 -0.79, 객단가구간 영향도 0.49. 고객유형: 30-50대 남성 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율 높음",카페,2023-03-09,,서울특별시 성동구 금호산길 56-1,신금호,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,5.1552,4.4577,4.4672,4.1088,4.3483,5.0127,10.8498,10.7085,10.2207,18.5538,19.2753,18.8139,유지 유지,감소 감소,증가 감소,증가 감소,감소 증가,증가 증가,유지 유지,유지 유지,감소 증가,유지 유지,증가 감소,4.0,3.0,3.0,4.0,4.0,4.0
AB0A569DCA,먹태**,"폐업 위험도: 낮음 (0.00). 주요 원인: 여성20대이하비율 영향도 -0.87, 업종_대분류 영향도 -0.87, 군집_고객유형 영향도 -0.74. 고객유형: 30-50대 남성 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율/신규고객 모두 낮음",호프/맥주,2015-08-12,,서울 성동구 금호로 168.,신금호,5.0,5.0,5.0,4.0,4.0,5.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,4.1778,4.4517,4.326,2.0552,2.0888,2.2538,9.5053,9.9964,9.2826,16.7719,16.3747,17.1518,유지 유지,증가 감소,감소 증가,유지 유지,증가 감소,증가 증가,유지 유지,유지 유지,유지 유지,유지 증가,증가 감소,5.0,5.0,5.0,5.0,4.0,5.0
1BB00863B9,서울****,"폐업 위험도: 낮음 (0.00). 주요 원인: 여성20대이하비율 영향도 -1.36, 업종내폐업비율 영향도 0.96, 업종_대분류 영향도 -0.92. 고객유형: 50-60대 남녀 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율/신규고객 모두 낮음",농산물,2024-05-09,,서울특별시 성동구 금호산길 10-1,금남시장,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,6.0,6.0,6.0,6.0,6.0,6.0
6C51C3210B,돌화***********,"폐업 위험도: 낮음 (0.00). 주요 원인: 여성20대이하비율 영향도 0.95, 매출금액구간 영향도 -0.46, 거주고객비율 영향도 0.45. 고객유형: 남성 20-30대, 여성 30대 비율 높음, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율/신규고객 보통",치킨,2024-04-09,,서울특별시 성동구 마조로1길 41,한양대,2.0,2.0,1.0,1.0,1.0,1.0,5.0,5.0,5.0,4.0,5.0,5.0,23.1,16.7,14.3,0.7785,0.7378,0.6734,30.8321,30.4612,31.1854,10.2934,10.1222,10.1702,2.405,2.365,2.5064,증가 유지,감소 증가,감소 증가,유지 감소,감소 감소,감소 증가,감소 감소,유지 유지,유지 유지,유지 유지,감소 감소,3.0,1.0,2.0,3.0,3.0,2.0
1BE17A9B6B,어썸*****,"폐업 위험도: 낮음 (0.00). 주요 원인: 여성20대이하비율 영향도 0.71, 배달매출비율 영향도 -0.59, 상권내폐업비율 영향도 -0.52. 고객유형: 남성 20-30대, 여성 30대 비율 높음, 경쟁력: 중위권 경쟁력, 고객관계: 신규 고객 비율 높음",베이커리,2024-01-30,,서울특별시 성동구 뚝섬로 409,성수,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,1.0,6.0,1.0,27.1,53.7,50.6,0.2376,0.2332,0.21,45.7942,45.4676,45.741,21.7342,21.1972,21.646,7.0576,6.4616,6.004,증가 감소,감소 증가,감소 감소,증가 감소,감소 감소,감소 증가,증가 감소,유지 유지,유지 증가,유지 유지,증가 증가,5.0,4.0,4.0,5.0,5.0,5.0
6CF34390D0,호*,"폐업 위험도: 낮음 (0.06). 주요 원인: 여성30대비율 영향도 0.96, 여성20대이하비율 영향도 0.81, 매출금액구간 영향도 0.39. 고객유형: 남성 50-60대 중심, 젊은층 적음, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율/신규고객 모두 낮음",양식,2022-09-20,,서울특별시 성동구 왕십리로24길 18,왕십리,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,2.4,1.9,0.3,0.616,0.6174,0.6675,19.656,19.6768,19.2585,18.928,19.1737,19.203,9.184,8.9999,8.88,증가 감소,증가 증가,감소 감소,유지 유지,증가 증가,증가 감소,감소 감소,유지 유지,유지 유지,유지 유지,증가 감소,2.0,3.0,3.0,2.0,2.0,3.0
1A1EC4B50C,생활**,"폐업 위험도: 낮음 (0.00). 주요 원인: 직장고객비율 영향도 -0.90, 업종내매출순위비율 영향도 0.89, 여성30대비율 영향도 0.84. 고객유형: 고객유형 미정, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율/신규고객 모두 낮음",호프/맥주,2017-06-02,,서울특별시 성동구 왕십리로 410,상권없음,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,9.0,5.7,12.7,3.7115,3.7752,3.8927,10.3818,10.5716,10.3493,16.9455,16.7776,16.5924,7.722,7.1904,6.8716,유지 유지,감소 감소,감소 감소,증가 유지,증가 증가,증가 감소,감소 증가,유지 유지,유지 유지,유지 증가,증가 증가,3.0,4.0,3.0,3.0,3.0,4.0
AA5A44BFF2,신성****,"폐업 위험도: 낮음 (0.00). 주요 원인: 직장고객비율 영향도 -0.56, 매출금액구간 영향도 -0.55, 객단가구간 영향도 -0.55. 고객유형: 고객유형 미정, 경쟁력: 중위권 경쟁력, 고객관계: 신규 고객 비율 높음",한식-육류/고기,2013-09-03,,서울 성동구 성덕정17길 1.,성수,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,16.0928,16.9168,16.6566,1.86,1.7696,1.5478,5.208,4.7936,4.5562,3.348,3.3824,3.6188,유지 유지,감소 감소,증가 증가,유지 유지,증가 감소,감소 감소,유지 유지,유지 유지,유지 감소,유지 유지,증가 감소,4.0,4.0,4.0,4.0,4.0,4.0
187D17CE25,성수*****,"폐업 위험도: 낮음 (0.00). 주요 원인: 운영개월수구간 영향도 2.51, 신규고객비율 영향도 -1.82, 매출금액구간 영향도 -0.74. 고객유형: 남성 20대 이하, 여성 20-30대 중심, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 재방문율/신규고객 보통",베이커리,2024-06-17,,서울특별시 성동구 성덕정길 127,상권없음,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1.0,1.0,6.1,11.3,9.2,12.096,11.767,11.9966,3.6464,4.047,4.047,11.1088,11.289,11.4168,9.2008,8.6478,8.4774,유지 유지,증가 증가,감소 감소,유지 유지,감소 증가,증가 유지,증가 감소,유지 유지,유지 유지,유지 유지,감소 증가,4.0,3.0,3.0,4.0,4.0,3.0
AB0B0395C8,키키**,"폐업 위험도: 낮음 (0.00). 주요 원인: 여성20대이하비율 영향도 0.73, 여성30대비율 영향도 0.65, 매출금액구간 영향도 -0.48. 고객유형: 남성 20-30대, 여성 30대 비율 높음, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 신규 고객 비율 높음",일식당,2023-07-18,,서울특별시 성동구 상원2길 1,뚝섬,4.0,4.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.546,0.742,0.742,36.1248,34.7837,34.595,18.2532,18.9329,19.3103,4.1976,4.0885,4.5288,유지 유지,증가 증가,감소 증가,유지 감소,증가 유지,감소 감소,유지 유지,유지 유지,증가 감소,유지 유지,감소 증가,3.0,3.0,4.0,3.0,3.0,4.0
8980D26E8D,폼페*,"폐업 위험도: 낮음 (0.03). 주요 원인: 업종_대분류 영향도 0.77, 남성60대이상비율 영향도 0.70, 객단가구간 영향도 -0.68. 고객유형: 고객유형 미정, 경쟁력: 중위권 경쟁력, 고객관계: 신규 고객 비율 높음",백반/가정식,2020-09-14,,서울특별시 성동구 독서당로 285,금남시장,5.0,4.0,4.0,5.0,4.0,4.0,2.0,1.0,2.0,1.0,6.0,1.0,0.0,0.0,0.0,2.6268,1.6104,1.5543,6.2868,7.8848,7.4589,27.3234,35.9936,37.9293,3.5867,5.0688,5.1842,증가 감소,증가 증가,증가 증가,감소 유지,감소 감소,증가 감소,유지 유지,유지 유지,감소 증가,감소 유지,증가 감소,3.0,4.0,5.0,4.0,5.0,4.0
BD61CF1C6B,신우**,"폐업 위험도: 낮음 (0.00). 주요 원인: 여성20대이하비율 영향도 -1.08, 업종_대분류 영향도 -0.93, 매출건수구간 영향도 0.81. 고객유형: 50-60대 남녀 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율/신규고객 모두 낮음",축산물,2010-08-12,,서울 성동구 마장로37길 43,마장동,5.0,5.0,6.0,5.0,5.0,6.0,2.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,40.425,33.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지 유지,유지 유지,유지 유지,유지 증가,감소 유지,유지 유지,유지 유지,유지 유지,감소 증가,유지 증가,유지 유지,5.0,6.0,5.0,6.0,5.0,5.0
ABD760AB85,전잔*,"폐업 위험도: 낮음 (0.00). 주요 원인: 군집_고객유형 영향도 -0.49, 여성40대비율 영향도 0.47, 업종내폐업비율 영향도 -0.47. 고객유형: 30-50대 남성 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율/신규고객 모두 낮음",한식-단품요리일반,2023-12-29,,서울특별시 성동구 무수막길 89,신금호,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,7.9152,7.7273,7.618,2.8424,3.1844,3.1464,6.7716,6.5783,6.6654,12.7072,13.1566,12.9996,유지 유지,감소 증가,증가 감소,유지 유지,감소 감소,증가 감소,유지 유지,유지 유지,유지 유지,유지 유지,증가 증가,4.0,4.0,4.0,4.0,4.0,4.0
ACA6852B94,데일******,"폐업 위험도: 높음 (0.87). 주요 원인: 여성20대이하비율 영향도 1.57, 매출건수구간 영향도 1.49, 업종내폐업비율 영향도 0.93. 고객유형: 남성 50-60대 중심, 젊은층 적음, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율 높음",식료품,2023-04-26,2025-07-14,서울특별시 성동구 사근동길 58,한양대,5.0,6.0,6.0,5.0,6.0,6.0,1.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,2.9232,2.9232,2.912,25.4016,25.1547,25.4282,3.7224,4.3684,5.9805,3.5372,3.585,3.6,유지 유지,증가 증가,증가 증가,증가 유지,유지 감소,감소 증가,유지 유지,유지 유지,증가 유지,증가 유지,감소 감소,6.0,6.0,5.0,6.0,5.0,6.0
8A9ADB6743,우오*****,"폐업 위험도: 낮음 (0.03). 주요 원인: 운영개월수구간 영향도 3.02, 신규고객비율 영향도 0.78, 매출건수구간 영향도 0.65. 고객유형: 고객유형 미정, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율/신규고객 모두 낮음",양식,2024-06-10,,서울특별시 성동구 광나루로4길 1-16,성수,5.0,5.0,6.0,5.0,5.0,6.0,1.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,2.8848,2.316,2.316,5.7057,8.42,8.42,22.7829,23.576,23.576,5.7057,5.052,5.052,유지 유지,증가 유지,감소 유지,유지 증가,감소 유지,증가 유지,유지 유지,유지 유지,유지 증가,유지 증가,감소 증가,4.0,6.0,5.0,6.0,4.0,5.0
9192973649,대명******,"폐업 위험도: 낮음 (0.00). 주요 원인: 여성20대이하비율 영향도 -0.98, 매출금액구간 영향도 0.64, 여성30대비율 영향도 -0.47. 고객유형: 남성 20대 이하, 여성 20-30대 중심, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 신규 고객 비율 높음",축산물,2023-04-27,,서울특별시 성동구 마장로35길 76,상권없음,4.0,4.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,20.9723,20.7466,21.414,2.0988,2.2494,2.0328,8.586,9.0954,8.47,5.8194,6.1125,5.4692,유지 유지,증가 감소,증가 감소,유지 감소,감소 증가,증가 감소,유지 유지,유지 유지,유지 유지,유지 감소,증가 증가,2.0,3.0,4.0,1.0,2.0,4.0
